train_rmse,r2_train,train_mae,val_rmse,r2_val,val_mae,test_rmse:,test_mae:,r2_test:
94.963,0.8538210726352085,46.6711,85.46709,0.8543246825781352,60.571686,85.828186,56.995197,0.7845869970266421
95.00351,0.8602761008870292,44.399452,87.62249,0.7995002289155334,62.19872,107.9571,73.71537,0.7429444406709376
86.40528,0.8868991406739778,42.273838,82.08604,0.8671551024684786,55.855026,112.39778,70.40741,0.7902828080822806
72.17263,0.912877683340285,36.384277,87.7801,0.8380680280311065,59.929512,110.88172,73.568275,0.6930549125417366
86.22605,0.8791524041701311,39.105442,81.04149,0.8561932976077934,58.464798,116.26728,73.92482,0.7353763425466222
82.47709,0.8906893678181526,35.909565,84.62432,0.8590768423141129,58.62392,108.30838,70.18537,0.7938915859716266
79.35027,0.9025460673724626,32.81987,82.63131,0.8637411868651886,54.782818,105.264946,64.99983,0.8151844787201408
81.40864,0.896302920843737,35.33258,72.14199,0.8456775436521186,50.994762,103.01334,66.078705,0.8256512794070731
79.271545,0.9010360911169417,31.68281,73.11193,0.842450595315958,50.98331,103.27738,72.26317,0.7767146655005429
63.426823,0.9344466687847203,35.366974,80.11028,0.832544734555619,60.28922,118.52949,84.22437,0.7576250968816771
82.0715,0.8954708564810533,43.09191,74.13552,0.8900044694296428,52.6957,98.29833,68.03734,0.841023516895457
77.61424,0.9003800921790515,38.304497,84.42872,0.851068709041652,57.968033,102.55232,72.33545,0.8312618638616178
73.044014,0.916169505629089,35.77982,84.51869,0.8581967401294983,56.700012,101.12552,67.70834,0.8245046434140786
68.6613,0.9223770275663107,31.175398,87.771805,0.8463809068265491,57.134262,98.13761,62.234882,0.8372289956350328
51.119015,0.955641422388003,27.505196,76.85568,0.8364721055612495,54.176437,94.8262,60.707096,0.8174883252028602
66.928795,0.9322402970236611,29.443678,82.747734,0.8551446104550963,55.75333,94.03403,61.63705,0.8495389925351684
61.13064,0.93832770853918,26.716362,80.03677,0.8760566426990903,52.60099,92.56595,59.982075,0.8469432823963354
47.987915,0.9607110245420285,29.195156,99.8471,0.7910780939182542,66.00938,75.37481,54.566387,0.8881862135673708
